,Country/Region,date_first_case,date_first_death,days_c1_to_d1,date,cases,deaths
157,South Korea,2020-01-22,2020-02-20,29.0,2021-09-03,258913,2315
158,South Sudan,2020-04-05,2020-05-15,40.0,2021-09-03,11473,120
159,Spain,2020-02-01,2020-03-03,31.0,2021-09-03,4877755,84795
160,Sri Lanka,2020-01-27,2020-03-28,61.0,2021-09-03,451401,9806
161,Sudan,2020-03-14,2020-03-13,-1.0,2021-09-03,37886,2837
162,Suriname,2020-03-14,2020-04-03,20.0,2021-09-03,30120,733
163,Sweden,2020-02-01,2020-03-10,38.0,2021-09-03,1130525,14692
164,Switzerland,2020-02-25,2020-03-06,10.0,2021-09-03,785696,11011
165,Syria,2020-03-22,2020-03-29,7.0,2021-09-03,28303,2029
166,Taiwan*,2020-01-22,2020-02-16,25.0,2021-09-03,16012,837
167,Tajikistan,2020-05-01,2020-05-03,2.0,2021-09-03,17313,125
168,Tanzania,2020-03-16,2020-03-31,15.0,2021-09-03,1367,50
169,Thailand,2020-01-22,2020-03-01,39.0,2021-09-03,1249140,12374
170,Timor-Leste,2020-03-22,2021-04-06,380.0,2021-09-03,17379,74
171,Togo,2020-03-06,2020-03-27,21.0,2021-09-03,21980,190
172,Trinidad and Tobago,2020-03-14,2020-03-25,11.0,2021-09-03,45300,1318
173,Tunisia,2020-03-04,2020-03-19,15.0,2021-09-03,670027,23710
174,Turkey,2020-03-11,2020-03-17,6.0,2021-09-03,6412247,57000
175,US,2020-01-22,2020-02-29,38.0,2021-09-03,39850256,647579
176,Uganda,2020-03-21,2020-07-24,125.0,2021-09-03,120377,3038
177,Ukraine,2020-03-03,2020-03-13,10.0,2021-09-03,2393002,57192
178,United Arab Emirates,2020-01-29,2020-03-20,51.0,2021-09-03,721308,2044
179,United Kingdom,2020-01-31,2020-03-06,35.0,2021-09-03,6937270,133365
180,Uruguay,2020-03-13,2020-03-28,15.0,2021-09-03,385423,6034
181,Uzbekistan,2020-03-15,2020-03-27,12.0,2021-09-03,158561,1099
182,Vanuatu,2020-11-10,2021-04-21,162.0,2021-09-03,4,1
183,Venezuela,2020-03-14,2020-03-27,13.0,2021-09-03,337359,4056
184,Vietnam,2020-01-23,2020-07-31,190.0,2021-09-03,501649,12446
185,West Bank and Gaza,2020-03-05,2020-03-26,21.0,2021-09-03,350224,3706
186,Yemen,2020-04-10,2020-04-30,20.0,2021-09-03,8018,1513
187,Zambia,2020-03-18,2020-04-02,15.0,2021-09-03,206884,3611
188,Zimbabwe,2020-03-20,2020-03-23,3.0,2021-09-03,125331,4457
